epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,991.051,1.1141,0.77666,0.00858,0.84563,0.89245,0.91475,0.6384,1.03466,0.63886,0.00976,0.000531423,0.000531423,0.000531423
90,1001.94,1.12225,0.78319,0.00865,0.82983,0.88768,0.9125,0.61748,1.0632,0.63715,0.01009,0.000517197,0.000517197,0.000517197
91,1012.75,1.08664,0.77133,0.00868,0.85287,0.84449,0.91041,0.62346,1.04695,0.68101,0.00987,0.00050306,0.00050306,0.00050306
92,1023.58,1.10513,0.77825,0.00838,0.81743,0.86694,0.89174,0.61906,1.06534,0.63981,0.01016,0.00048902,0.00048902,0.00048902
93,1034.53,1.09688,0.75595,0.00829,0.80865,0.91277,0.90987,0.62917,1.05511,0.63652,0.01007,0.000475081,0.000475081,0.000475081
94,1045.33,1.11531,0.77338,0.00869,0.84816,0.85927,0.90771,0.62747,1.03288,0.62553,0.00968,0.00046125,0.00046125,0.00046125
95,1056.31,1.08975,0.74758,0.00823,0.8298,0.9024,0.90396,0.62422,1.05195,0.61387,0.01007,0.000447534,0.000447534,0.000447534
96,1067.24,1.11419,0.76611,0.00833,0.81522,0.89079,0.91178,0.63614,1.03715,0.62173,0.0098,0.000433938,0.000433938,0.000433938
97,1078.18,1.10632,0.77289,0.00843,0.80614,0.89668,0.89989,0.61375,1.10596,0.63986,0.01066,0.000420468,0.000420468,0.000420468
98,1089.14,1.11566,0.76313,0.00886,0.84005,0.87008,0.91105,0.62689,1.07293,0.70442,0.01038,0.00040713,0.00040713,0.00040713
99,1100.05,1.1006,0.76133,0.00846,0.81225,0.89768,0.91021,0.62286,1.07124,0.62197,0.01029,0.00039393,0.00039393,0.00039393
100,1110.99,1.09206,0.75095,0.00839,0.82548,0.89681,0.91069,0.6262,1.03383,0.61683,0.00976,0.000380874,0.000380874,0.000380874
101,1121.92,1.0959,0.75214,0.00803,0.84623,0.87986,0.90911,0.62373,1.04523,0.62243,0.00985,0.000367967,0.000367967,0.000367967
102,1132.71,1.09976,0.75572,0.00869,0.82741,0.90099,0.91154,0.63437,1.04482,0.63562,0.00986,0.000355216,0.000355216,0.000355216
103,1143.58,1.0988,0.75309,0.00854,0.82484,0.89644,0.9064,0.62792,1.0588,0.62369,0.01011,0.000342625,0.000342625,0.000342625
104,1154.46,1.08451,0.7531,0.00814,0.81706,0.88423,0.91191,0.62459,1.04636,0.63803,0.00994,0.000330201,0.000330201,0.000330201
105,1165.36,1.07891,0.73675,0.00826,0.78727,0.92149,0.90898,0.6294,1.04971,0.61526,0.00997,0.000317948,0.000317948,0.000317948
